english,english_normalized,domain,primary_tamil,all_alternatives,sources
digital to analog converter- D-A Converter,digital to analog converter- d-a converter,general,இலக்க முறையிலிருந்து அலைவு முறைக்கு மாற்றும சாதனம்,இலக்க முறையிலிருந்து அலைவு முறைக்கு மாற்றும சாதனம்,மணவை முஸ்தபா
digital tracer,digital tracer,general,இலக்க வரைபடக்கருவி,இலக்க வரைபடக்கருவி,மணவை முஸ்தபா
digital transmission,digital transmission,general,லக்கமுறை செலுத்தம்,"லக்கமுறை செலுத்தம்,இலக்கமுறை அனுப்பீடு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
digital versatile disk,digital versatile disk,hardware,இலக்கமுறைப் பல்திறன் வட்டு,இலக்கமுறைப் பல்திறன் வட்டு,மணவை முஸ்தபா
digital video disc,digital video disc,general,இலக்கமுறை ஒளிக்காட்சி வட்டு;எண்ணுரு நிகழ்பட வட்டு,இலக்கமுறை ஒளிக்காட்சி வட்டு;எண்ணுரு நிகழ்பட வட்டு,மணவை முஸ்தபா
digital video disc-erasable,digital video disc-erasable,general,இலக்கமுறை ஒளிக்காட்சி வட்டு அழித்தெழுத முடிவது;எண்ணுரு நிகழ்பட வட்டு-அழித்தெழுத முடிவது,இலக்கமுறை ஒளிக்காட்சி வட்டு அழித்தெழுத முடிவது;எண்ணுரு நிகழ்பட வட்டு-அழித்தெழுத முடிவது,மணவை முஸ்தபா
digital video disc-recordable,digital video disc-recordable,database,இலக்கமுறை ஒளிக்காட்சி வட்டு பதியமுடிவது;எண்ணுரு நிகழ் பட வட்டு-எழுதமுடிவது,இலக்கமுறை ஒளிக்காட்சி வட்டு பதியமுடிவது;எண்ணுரு நிகழ் பட வட்டு-எழுதமுடிவது,மணவை முஸ்தபா
digital video disc-ROM,digital video disc-rom,hardware,இலக்கமுறை ஒளிக்காட்சி வட்டு-படிக்க மட்டும்; எண்ணுரு நிகழ்,இலக்கமுறை ஒளிக்காட்சி வட்டு-படிக்க மட்டும்; எண்ணுரு நிகழ்,மணவை முஸ்தபா
Digital Video Interactive (DVI),digital video interactive (dvi),general,இலக்கமுறை ஒளிக்காட்சி உறவாடல்; எண்ணுரு நிகழ்பட ஊடாடல்,இலக்கமுறை ஒளிக்காட்சி உறவாடல்; எண்ணுரு நிகழ்பட ஊடாடல்,மணவை முஸ்தபா
digitise,digitise,general,லக்கமாக்கு,லக்கமாக்கு,அண்ணா பல்கலைக்கழகம்
digitiser,digitiser,general,லக்கமாக்கி,லக்கமாக்கி,அண்ணா பல்கலைக்கழகம்
digitising,digitising,general,லக்கமாக்கல்,லக்கமாக்கல்,அண்ணா பல்கலைக்கழகம்
digitising tablet,digitising tablet,database,லக்கமாக்கு கருவி,லக்கமாக்கு கருவி,அண்ணா பல்கலைக்கழகம்
digitize,digitize,general,இலக்கமாக்கு,இலக்கமாக்கு,மணவை முஸ்தபா
digitized type,digitized type,general,இலக்கமாக்கிய எழுத்துரு,இலக்கமாக்கிய எழுத்துரு,மணவை முஸ்தபா
digitizer,digitizer,general,இலக்கமாக்கி,இலக்கமாக்கி,மணவை முஸ்தபா
digitizing,digitizing,general,இலக்கமுறை ஆக்கல்,இலக்கமுறை ஆக்கல்,மணவை முஸ்தபா
digitizing tabtet,digitizing tabtet,general,இலக்க முறையாக்கும் பலகை,இலக்க முறையாக்கும் பலகை,மணவை முஸ்தபா
DikuMUD,dikumud,general,டிக்குமட்,டிக்குமட்,மணவை முஸ்தபா
dimension,dimension,general,பாிமாணம்,பாிமாணம்,அண்ணா பல்கலைக்கழகம்
"dimensional storage, two","dimensional storage, two",ai,இரு பரிமாணச் சேமிப்பு,இரு பரிமாணச் சேமிப்பு,மணவை முஸ்தபா
"dimensional, multi","dimensional, multi",general,பன்முகப் பரிமாணம்;பல் பரிமாணம்,பன்முகப் பரிமாணம்;பல் பரிமாணம்,மணவை முஸ்தபா
dimensioning,dimensioning,general,பரிமாணமாக்கல்,பரிமாணமாக்கல்,மணவை முஸ்தபா
dimensjon,dimensjon,general,பரிமாணம்,பரிமாணம்,மணவை முஸ்தபா
dimmed,dimmed,general,மங்கிய தேர்வு;மறுக்கப்பட்ட,மங்கிய தேர்வு;மறுக்கப்பட்ட,மணவை முஸ்தபா
dimmed command,dimmed command,programming,மங்கிய ஆணை,மங்கிய ஆணை,மணவை முஸ்தபா
dimmed icon,dimmed icon,general,மங்கிய உருவம்,மங்கிய உருவம்,மணவை முஸ்தபா
DIN connector,din connector,networking,டின் இணைப்பான்;டின் இணைப்பி,டின் இணைப்பான்;டின் இணைப்பி,மணவை முஸ்தபா
dingbats,dingbats,general,டிங்பேட்ஸ்,டிங்பேட்ஸ்,மணவை முஸ்தபா
dinousaurs,dinousaurs,general,டினோசார்ஸ்,டினோசார்ஸ்,மணவை முஸ்தபா
diode,diode,general,ருமுனையம்,"ருமுனையம்,இருமுனையம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
diode transistor logic,diode transistor logic,general,ருமுனையத் திாிதடய ஏரணம்,"ருமுனையத் திாிதடய ஏரணம்,டயோடு டிரான்சிஸ்டர் லாஜிக்;இரு முனைய மின்மப்பெருக்கி இணைப்புமுறை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
diogonal,diogonal,general,மூலைவிட்டம்,மூலைவிட்டம்,மணவை முஸ்தபா
DIP,dip,general,Dual Inline Package -என்பதன் குறுக்கம்,"Dual Inline Package -என்பதன் குறுக்கம்,டிஐபி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
DIP switches,dip switches,networking,டிப் நிலைமாற்றிகள்,"டிப் நிலைமாற்றிகள்,டிஐபி நிலை மாற்றிகள்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
dipole,dipole,general,இருதுருவம்,இருதுருவம்,மணவை முஸ்தபா
dir,dir,general,(டிர்),(டிர்),மணவை முஸ்தபா
direct access,direct access,general,நேரடி அணுகல்,"நேரடி அணுகல்,நேரடி அணுகுமுறை;நேர்வழிச் சேர்வு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
direct address,direct address,general,நேரடி முகவாி,நேரடி முகவாி,அண்ணா பல்கலைக்கழகம்
direct connect modem,direct connect modem,networking,நேரடி ணைப்பு மோடம்,நேரடி ணைப்பு மோடம்,அண்ணா பல்கலைக்கழகம்
direct conversation,direct conversation,general,நேரடி மாற்றம்,நேரடி மாற்றம்,அண்ணா பல்கலைக்கழகம்
direct coupled transistor logic,direct coupled transistor logic,general,நேரடி ணைப்புத் திாி,நேரடி ணைப்புத் திாி,அண்ணா பல்கலைக்கழகம்
direct data entry,direct data entry,general,நேரடித் தரவுப் பதிவு,நேரடித் தரவுப் பதிவு,அண்ணா பல்கலைக்கழகம்
direct digital colour proof,direct digital colour proof,general,நேரடி இலக்கமுறை வண்ண மெய்ப்பு,நேரடி இலக்கமுறை வண்ண மெய்ப்பு,மணவை முஸ்தபா
direct distance dialing,direct distance dialing,general,நேரடித் தொலைவிட அழைப்பு,"நேரடித் தொலைவிட அழைப்பு,நேரடி தொலைதூர அழைப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
direct file organization,direct file organization,general,நேரடி கோப்பு அமைவாக்கம்,நேரடி கோப்பு அமைவாக்கம்,மணவை முஸ்தபா
direct input/output,direct input/output,general,நேரடி உள்ளீடு/வெளியீடு,நேரடி உள்ளீடு/வெளியீடு,மணவை முஸ்தபா
Direct Memory Access (DMA),direct memory access (dma),hardware,நேரடி நினைவக அணுகல் (டிஎம்ஏ),நேரடி நினைவக அணுகல் (டிஎம்ஏ),மணவை முஸ்தபா
direct mode,direct mode,general,நேரடி முறை,நேரடி முறை,மணவை முஸ்தபா
Direct Preference Optimization (DPO),direct preference optimization (dpo),general,நேரடி விருப்ப உகப்பாக்கம்,நேரடி விருப்ப உகப்பாக்கம்,காங்கேயன் பசுபதி
direct processing,direct processing,general,நேரடிச் செயலாக்கம்,"நேரடிச் செயலாக்கம்,நேரடி செயலாக்கம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
direct recovery plan,direct recovery plan,networking,நேரடி மீட்புத் திட்டம்,நேரடி மீட்புத் திட்டம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
direct screen copy device,direct screen copy device,general,நேரடித் திரைப்படியெடுப்புச் சாதனம்,நேரடித் திரைப்படியெடுப்புச் சாதனம்,மணவை முஸ்தபா
direct sequence,direct sequence,general,நேரடித் தொடர் வரிசை,நேரடித் தொடர் வரிசை,மணவை முஸ்தபா
direct X,direct x,general,டைரக்ட் எக்ஸ்,டைரக்ட் எக்ஸ்,மணவை முஸ்தபா
directive,directive,general,பொதுஆணை;பணிப்பு,பொதுஆணை;பணிப்பு,மணவை முஸ்தபா
directory,directory,general,அடைவு,"அடைவு,கோப்பகம்,விவரப்பட்டியல்;தரவுக் குவியல்;அடைவு","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா"
Directory Access Protocol,directory access protocol,networking,கோப்பக அணுகு நெறிமுறை,கோப்பக அணுகு நெறிமுறை,மணவை முஸ்தபா
directory management,directory management,general,விவரக்குறிப்பேட்டு மேலாண்மை,விவரக்குறிப்பேட்டு மேலாண்மை,மணவை முஸ்தபா
directory replication,directory replication,general,கோப்பக நேர்படியாக்கம்,கோப்பக நேர்படியாக்கம்,மணவை முஸ்தபா
directory structure,directory structure,general,விவரக் குறிப்பேட்டுக் கட்டமைவு,விவரக் குறிப்பேட்டுக் கட்டமைவு,மணவை முஸ்தபா
directory tree,directory tree,general,விவரக் குறிப்பேட்டு மரம்,விவரக் குறிப்பேட்டு மரம்,மணவை முஸ்தபா
dirty,dirty,general,அழுக்கு;மாசு,அழுக்கு;மாசு,மணவை முஸ்தபா
dirty bit,dirty bit,general,அழுக்கு பிட்;மாசுத் துண்மி,அழுக்கு பிட்;மாசுத் துண்மி,மணவை முஸ்தபா
dirty power,dirty power,general,சீரற்ற மின்விசை,சீரற்ற மின்விசை,மணவை முஸ்தபா
dirty ROM,dirty rom,hardware,அழுக்கு ரோம்;அழுக்குறு அழியா நினைவகம்,அழுக்கு ரோம்;அழுக்குறு அழியா நினைவகம்,மணவை முஸ்தபா
disable,disable,general,முடக்கு,"முடக்கு,செயலற்றதாக்கல்;முடக்கமாதல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disabled folders,disabled folders,general,செயல் முடக்கப்பட்ட கோப்புறைகள்,செயல் முடக்கப்பட்ட கோப்புறைகள்,மணவை முஸ்தபா
Disambiguated,disambiguated,general,தெளிவாக்கிய/தெளிவுப்படுத்திய,தெளிவாக்கிய/தெளிவுப்படுத்திய,aangilam.org
Disambiguation,disambiguation,general,தெளிவாக்கம்/தெளிவாக்கல்,தெளிவாக்கம்/தெளிவாக்கல்,aangilam.org
disassembler,disassembler,general,பொறிமொழியைத் தொகுமொழியாக்கி,"பொறிமொழியைத் தொகுமொழியாக்கி,பிரிக்கும் நிரல் தொடர்;பிரிப்பி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disassociate,disassociate,general,தொடர்புநீக்கம்,தொடர்புநீக்கம்,மணவை முஸ்தபா
disaster dump,disaster dump,general,டர்க்கண் கொட்டல்,"டர்க்கண் கொட்டல்,அபாய ஏற்பாடு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disaster recovery,disaster recovery,general,இடர் மீட்சி,இடர் மீட்சி,மணவை முஸ்தபா
disaster recovery specialist,disaster recovery specialist,general,சேதமீட்புச் சிறப்பாளர்;இடர் மீட்சி வல்லுநர்,சேதமீட்புச் சிறப்பாளர்;இடர் மீட்சி வல்லுநர்,மணவை முஸ்தபா
disc,disc,general,வட்டு,வட்டு,மணவை முஸ்தபா
disclaimer,disclaimer,general,உாிமைத் துறப்பு,"உாிமைத் துறப்பு,ஒதுங்கல் உரிமைத் துறப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disconnect,disconnect,general,துண்டிப்பு;துணி (த்தல்),துண்டிப்பு;துணி (த்தல்),மணவை முஸ்தபா
Discovery,discovery,general,கண்டறி/கண்டறிதல்,கண்டறி/கண்டறிதல்,aangilam.org
Discreet,discreet,general,ஏதேனும்,ஏதேனும்,மு.சிவலிங்கம்
discrete,discrete,general,பிாிநிலை,"பிாிநிலை,உதிாி,தனியான","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
discrete component,discrete component,general,பிாிநிலை உறுப்பு,"பிாிநிலை உறுப்பு,உதிாி உறுப்பு,தனி உறுப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
discrete cosine transform,discrete cosine transform,general,பிரி நிலைக்கிடை கோண உருமாற்றம்,பிரி நிலைக்கிடை கோண உருமாற்றம்,மணவை முஸ்தபா
discrete device,discrete device,general,பிரிநிலைச் சாதனம்,பிரிநிலைச் சாதனம்,மணவை முஸ்தபா
discrete multitone,discrete multitone,general,தொடர்சியற்ற பல்தொனி,தொடர்சியற்ற பல்தொனி,மணவை முஸ்தபா
discretionary access control,discretionary access control,general,தனிவிருப்ப அணுகுக் கட்டுப்பாடு,தனிவிருப்ப அணுகுக் கட்டுப்பாடு,மணவை முஸ்தபா
discretionary hyphen,discretionary hyphen,general,பிரிநிலை ஒட்டுக்குறி,பிரிநிலை ஒட்டுக்குறி,மணவை முஸ்தபா
Discuss,discuss,general,கலந்தாலோசி,கலந்தாலோசி,aangilam.org
discussion groups,discussion groups,general,இணைய விவாதக் குழுக்கள்;இணையக் கலந்,இணைய விவாதக் குழுக்கள்;இணையக் கலந்,மணவை முஸ்தபா
disk,disk,hardware,வட்டு,"வட்டு,வட்டு;மின்காந்தத் தட்டு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk access,disk access,hardware,வட்டு அணுகல்,வட்டு அணுகல்,மணவை முஸ்தபா
disk access time,disk access time,hardware,வட்டு அணுகு நேரம்,"வட்டு அணுகு நேரம்,வட்டு அணுகல் நேரம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk array,disk array,programming,வட்டு வரிசை,வட்டு வரிசை,மணவை முஸ்தபா
disk back,disk back,hardware,வட்டுத் தொகுதி,வட்டுத் தொகுதி,மணவை முஸ்தபா
disk based,disk based,hardware,வட்டு அடிப்படை,வட்டு அடிப்படை,மணவை முஸ்தபா
disk buffer,disk buffer,hardware,வட்டு டையகம்,"வட்டு டையகம்,வட்டின் இடைநிலை நினைவகம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk cache,disk cache,hardware,வட்டுப் பொதியறை,வட்டுப் பொதியறை,மணவை முஸ்தபா
disk capacity,disk capacity,hardware,வட்டுக் கொள்ளளவு,வட்டுக் கொள்ளளவு,மணவை முஸ்தபா
disk cartridge,disk cartridge,hardware,வட்டுப்பொதியுறை,வட்டுப்பொதியுறை,மணவை முஸ்தபா
disk change,disk change,hardware,வட்டு மாற்று,"வட்டு மாற்று,EuLG) onOg)","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk change sensor,disk change sensor,hardware,வட்டு மாற்று உணாி,"வட்டு மாற்று உணாி,வட்டு மாற்று உணரி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk cleanup,disk cleanup,hardware,வட்டு செம்மை செய்,வட்டு செம்மை செய்,மணவை முஸ்தபா
disk controller,disk controller,hardware,வட்டுக் கட்டுபாட்டுக் கருவி,வட்டுக் கட்டுபாட்டுக் கருவி,மணவை முஸ்தபா
disk controller card,disk controller card,hardware,வட்டுக் கட்டுப்பாட்டு அட்டை,"வட்டுக் கட்டுப்பாட்டு அட்டை,வட்டுக் கட்டுப்பாடு அட்டை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk copy,disk copy,hardware,வட்டுப் படி,வட்டுப் படி,மணவை முஸ்தபா
disk copying,disk copying,hardware,வட்டுப் படிஎடுப்பு,வட்டுப் படிஎடுப்பு,அண்ணா பல்கலைக்கழகம்
disk crash,disk crash,hardware,வட்டு கேடு,"வட்டு கேடு,வட்டுப் பழுது;வட்டுக் கேடு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk directory,disk directory,hardware,வட்டு விவரக் குறிப்பேடு,வட்டு விவரக் குறிப்பேடு,மணவை முஸ்தபா
disk doctor,disk doctor,hardware,வட்டுப் பொருளறி சாதனம்,வட்டுப் பொருளறி சாதனம்,மணவை முஸ்தபா
disk drive,disk drive,hardware,வட்டு யக்கி,"வட்டு யக்கி,வட்டு இயக்ககம்,வட்டு இயக்கி, வட்டு செலுத்தி,வட்டு இயக்கி","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா,aangilam.org"
disk drive controller,disk drive controller,hardware,வட்டு இயக்ககக் கட்டுப்படுத்தி,வட்டு இயக்ககக் கட்டுப்படுத்தி,மணவை முஸ்தபா
"disk drive, floppy","disk drive, floppy",hardware,நெகிழ்வட்டு இயக்ககம்,நெகிழ்வட்டு இயக்ககம்,மணவை முஸ்தபா
disk dump,disk dump,hardware,வட்டுக் குவியல்,வட்டுக் குவியல்,மணவை முஸ்தபா
disk duplication,disk duplication,hardware,வட்டு நகலாக்கம்,"வட்டு நகலாக்கம்,வட்டு பிரதியெடுத்தல்;வட்டு நகலாக்கம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk envelope,disk envelope,hardware,வட்டு உறை,வட்டு உறை,அண்ணா பல்கலைக்கழகம்
disk file,disk file,hardware,வட்டுக் கோப்பு,வட்டுக் கோப்பு,அண்ணா பல்கலைக்கழகம்
disk jacket,disk jacket,hardware,வட்டுப் பொதியுறை,வட்டுப் பொதியுறை,அண்ணா பல்கலைக்கழகம்
disk library,disk library,hardware,வட்டு நூலகம்,வட்டு நூலகம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk management,disk management,hardware,வட்டு மேலாண்மை,வட்டு மேலாண்மை,மணவை முஸ்தபா
disk memory,disk memory,hardware,வட்டு நினைவகம்,வட்டு நினைவகம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk mirroring,disk mirroring,hardware,வட்டுப் பிரதிபலிப்பு,வட்டுப் பிரதிபலிப்பு,மணவை முஸ்தபா
disk operating system,disk operating system,hardware,வட்டு யக்க அமைப்பு,"வட்டு யக்க அமைப்பு,வட்டு இயக்க முறைமை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk optimiser,disk optimiser,hardware,வட்டுச் சிக்கனம்,வட்டுச் சிக்கனம்,மணவை முஸ்தபா
disk pack,disk pack,hardware,வட்டு அடுக்கு,வட்டு அடுக்கு,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk partition,disk partition,hardware,வட்டுப் பிாிவினை,"வட்டுப் பிாிவினை,வட்டுப் பிரிவினை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk sector,disk sector,hardware,வட்டுத் துண்டம்,"வட்டுத் துண்டம்,வட்டுப் பிரிவு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disk server,disk server,networking,வட்டு வழங்கன்;வட்டு வழங்கன் கணினி,வட்டு வழங்கன்;வட்டு வழங்கன் கணினி,மணவை முஸ்தபா
disk space,disk space,hardware,வட்டுப் பரப்பு,வட்டுப் பரப்பு,மணவை முஸ்தபா
disk storage,disk storage,ai,வட்டுச் சேமிப்பகம்,வட்டுச் சேமிப்பகம்,மணவை முஸ்தபா
disk striping,disk striping,hardware,வட்டுச்செய்தி இடையிணைப்பு,வட்டுச்செய்தி இடையிணைப்பு,மணவை முஸ்தபா
disk unit enclosure,disk unit enclosure,hardware,வட்டக உறை,வட்டக உறை,அண்ணா பல்கலைக்கழகம்
"disk, compact","disk, compact",hardware,குறுவட்டு,குறுவட்டு,மணவை முஸ்தபா
"disk, magnetic","disk, magnetic",hardware,காந்த வட்டு,காந்த வட்டு,மணவை முஸ்தபா
disk/track info,disk/track info,hardware,வட்டு/தடத்தரவு,வட்டு/தடத்தரவு,மணவை முஸ்தபா
diskette,diskette,hardware,வட்டு,வட்டு,அண்ணா பல்கலைக்கழகம்
diskette tray,diskette tray,hardware,வட்டுத் தட்டம்,வட்டுத் தட்டம்,அண்ணா பல்கலைக்கழகம்
diskless workstation,diskless workstation,hardware,வட்டிலா வேலை நிலையம்,வட்டிலா வேலை நிலையம்,மணவை முஸ்தபா
dispatch,dispatch,general,பணி தேர்தல்,"பணி தேர்தல்,அனுப்புதல்,அனுப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
dispatch table,dispatch table,database,அனுப்புகை அட்டவணை,அனுப்புகை அட்டவணை,மணவை முஸ்தபா
dispatcher,dispatcher,general,விரைவுச் செயல்முறை,விரைவுச் செயல்முறை,மணவை முஸ்தபா
dispatching,dispatching,general,விரைவுச் செயலாக்கம்,விரைவுச் செயலாக்கம்,மணவை முஸ்தபா
dispatching priority,dispatching priority,general,பணி முன்னுாிமை,"பணி முன்னுாிமை,அனுப்பும் முன்னுரிமை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
disperse,disperse,general,கலைத்தல்;பிரித்தல்,கலைத்தல்;பிரித்தல்,மணவை முஸ்தபா
dispersed data processing,dispersed data processing,general,பரவலான தரவு செயலாக்கம்,பரவலான தரவு செயலாக்கம்,மணவை முஸ்தபா
dispersed intelligence,dispersed intelligence,general,விரவிய அறிவுத்திறன்,"விரவிய அறிவுத்திறன்,பரவலாக்கப்பட்ட அறிவுத்திறன்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
dispersion,dispersion,general,பரப்பீடு,பரப்பீடு,மணவை முஸ்தபா
displacement,displacement,general,பெயர்ச்சி,"பெயர்ச்சி,இடமாற்றல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display,display,general,காட்சியகம்,"காட்சியகம்,காட்சி;காட்சியகம்;ஒளி எழுத்து கண்காட்சி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display adapter,display adapter,general,காட்சி ஏற்பி;காட்சி அமைப்பு அட்டை,காட்சி ஏற்பி;காட்சி அமைப்பு அட்டை,மணவை முஸ்தபா
display adaptor,display adaptor,general,காட்சி அமைப்பு அட்டை,காட்சி அமைப்பு அட்டை,அண்ணா பல்கலைக்கழகம்
display background,display background,general,காட்சிப் பின்புலம்,"காட்சிப் பின்புலம்,காட்சிப் பின்னணி;காட்சிப் பின்புலம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display card,display card,general,காட்சியட்டை,காட்சியட்டை,மணவை முஸ்தபா
display composition,display composition,general,காட்சியக இணைப்பாக்கம்,காட்சியக இணைப்பாக்கம்,மணவை முஸ்தபா
display console,display console,general,கட்டுப்பாட்டு காட்சி முனையம்,"கட்டுப்பாட்டு காட்சி முனையம்,காட்சி முகப்பு;காட்சி முனையம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display control,display control,general,காட்கிக் கட்டுப்பாடு,காட்கிக் கட்டுப்பாடு,மணவை முஸ்தபா
display cycle,display cycle,general,காட்சி சுழல்நேரம்,"காட்சி சுழல்நேரம்,காட்சி சுழற்சி;காட்சிச் சுழல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display device,display device,general,காட்சிச் சாதனம்,காட்சிச் சாதனம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display entity,display entity,general,காட்சி அலகு,காட்சி அலகு,மணவை முஸ்தபா
display face,display face,general,காட்சி முகப்பு,காட்சி முகப்பு,மணவை முஸ்தபா
display foreground,display foreground,general,காட்சி முன்புலம்,காட்சி முன்புலம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display frame,display frame,hardware,காட்சிச் சட்டகம்,காட்சிச் சட்டகம்,மணவை முஸ்தபா
display highlighting,display highlighting,general,காட்சிக்கூறு சிறப்பிடல்,"காட்சிக்கூறு சிறப்பிடல்,காட்சி அதிகரித்தல்;காட்சி சிறப்புறல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display image,display image,general,காட்சிப் படிமம்,காட்சிப் படிமம்,அண்ணா பல்கலைக்கழகம்
display list,display list,general,காட்சியகப் பட்டியல்,காட்சியகப் பட்டியல்,மணவை முஸ்தபா
display list processor,display list processor,hardware,காட்கியக பட்டியல் செய்முறைப்படுத்தி,காட்கியக பட்டியல் செய்முறைப்படுத்தி,மணவை முஸ்தபா
display memory,display memory,hardware,காட்சி நினைவகம்,காட்சி நினைவகம்,மணவை முஸ்தபா
display menu,display menu,general,காட்சி வகைப்பட்டி,"காட்சி வகைப்பட்டி,காட்சி வகைப் பட்டியல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
Display name,display name,general,தோற்றப்பெயர்,தோற்றப்பெயர்,aangilam.org
display port,display port,hardware,திரைக்காட்சித் துறை,திரைக்காட்சித் துறை,மணவை முஸ்தபா
Display PostScript (DPS),display postscript (dps),general,காட்சிப் பின்குறிப்பு (டிபிஎஸ்),காட்சிப் பின்குறிப்பு (டிபிஎஸ்),மணவை முஸ்தபா
display postscript screen,display postscript screen,general,காட்சியகப் பின்குறிப்புத் திரை,காட்சியகப் பின்குறிப்புத் திரை,மணவை முஸ்தபா
display processor,display processor,hardware,காட்சிச் செய்முறைப்படுத்தி,காட்சிச் செய்முறைப்படுத்தி,மணவை முஸ்தபா
display screen,display screen,general,காட்சித் திரை,காட்சித் திரை,மணவை முஸ்தபா
Display settings,display settings,general,திரைக்காட்சி அமைவுகள்,திரைக்காட்சி அமைவுகள்,மு.சிவலிங்கம்
display surface,display surface,general,காட்சிப் பரப்பு,"காட்சிப் பரப்பு,காட்சி மேற்பரப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display terminal,display terminal,general,காட்சி முனையம்,"காட்சி முனையம்,காட்சி முகப்பு;காட்சி முனையம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display tolerance,display tolerance,general,காட்சிப் பொறுதி,காட்சிப் பொறுதி,அண்ணா பல்கலைக்கழகம்
display tolerence,display tolerence,general,காட்சி சகிப்பு;காட்சிப் பொறுதி,காட்சி சகிப்பு;காட்சிப் பொறுதி,மணவை முஸ்தபா
display type,display type,general,காட்சி வகை,காட்சி வகை,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display unit,display unit,general,காட்சி அகம்,"காட்சி அகம்,காட்சி அலகு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
display write,display write,general,காட்சி எழுத்து,காட்சி எழுத்து,மணவை முஸ்தபா
dispose,dispose,general,முடித்துவை,முடித்துவை,மணவை முஸ்தபா
Distillation,distillation,ai,அறிவுச் சுருக்கம்,"அறிவுச் சுருக்கம்,சாரம் பிரித்தெடுத்தல்",காங்கேயன் பசுபதி
distortion,distortion,general,திாிபு,"திாிபு,சிதறல்;திரிபு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
distribute,distribute,general,பகிர்ந்தளி;பகிர்ந்தமை;ஒரு பிணையத்தில் பிணைக்கப்,"பகிர்ந்தளி;பகிர்ந்தமை;ஒரு பிணையத்தில் பிணைக்கப்,வினியோகி/வினியோகப்படுத்து","மணவை முஸ்தபா,aangilam.org"
distributed bulletin board,distributed bulletin board,general,பகிர்ந்தமை;அறிக்கைப்பலகை,பகிர்ந்தமை;அறிக்கைப்பலகை,மணவை முஸ்தபா
distributed computing,distributed computing,general,பகிர்ந்தமை கணிப்பணி,பகிர்ந்தமை கணிப்பணி,மணவை முஸ்தபா
